Dates;EUR006M Index;EUSA1 Curncy;EUSA2 Curncy;EUSA3 Curncy;EUSA4 Curncy;EUSA5 Curncy;EUSA7 Curncy;EUSA10 Curncy;EUSA12 Curncy;EUSA15 Curncy;EUSA20 Curncy;EUSA25 Curncy;EUSA30 Curncy
31/01/2001;4,628;4,565;4,6038;4,705;4,79;4,895;5,107;5,337;5,454;5,597;5,742;5,78;5,787
28/02/2001;4,639;4,605;4,605;4,69;4,78;4,864;5,0885;5,306;5,4255;5,558;5,706;5,76;5,7685
30/03/2001;4,424;4,3575;4,3725;4,475;4,59;4,7065;4,95;5,203;5,327;5,486;5,646;5,7325;5,721
30/04/2001;4,741;4,8225;4,855;4,905;5,019;5,117;5,281;5,477;5,597;5,737;5,882;5,9225;5,9435
31/05/2001;4,446;4,4835;4,6;4,7445;4,8975;5,042;5,298;5,5575;5,682;5,825;5,9655;6,0225;6,033
29/06/2001;4,373;4,3915;4,48;4,6435;4,784;4,934;5,234;5,5165;5,653;5,8075;5,9525;6,0075;6,0235
31/07/2001;4,336;4,2735;4,326;4,4615;4,593;4,741;5,01;5,279;5,412;5,57;5,707;5,7525;5,757
31/08/2001;4,123;4,0215;4,0825;4,251;4,426;4,578;4,876;5,179;5,324;5,4795;5,6253;5,6913;5,6855
28/09/2001;3,546;3,5305;3,729;3,9915;4,241;4,454;4,8045;5,165;5,334;5,524;5,6928;5,7613;5,772
31/10/2001;3,348;3,2205;3,3455;3,6018;3,8375;4,05;4,385;4,709;4,8388;4,9988;5,1463;5,2113;5,2163
30/11/2001;3,242;3,259;3,6205;3,9245;4,13;4,3115;4,6188;4,8863;5,0175;5,1513;5,2788;5,3163;5,31
31/12/2001;3,256;3,4135;3,8958;4,2333;4,464;4,6715;4,9845;5,2495;5,373;5,4575;5,5325;5,545;5,535
31/01/2002;3,411;3,6595;4,116;4,4035;4,5845;4,7378;4,9645;5,155;5,2338;5,3163;5,3763;5,3775;5,3588
28/02/2002;3,412;3,659;4,0805;4,3343;4,5715;4,7328;4,9835;5,196;5,2813;5,3788;5,4763;5,4938;5,4738
29/03/2002;3,594;4,025;4,503;4,781;4,9625;5,099;5,2965;5,479;5,5725;5,6475;5,72;5,7338;5,7175
30/04/2002;3,494;3,831;4,2765;4,563;4,7668;4,9268;5,16;5,3585;5,4498;5,5475;5,6275;5,645;5,627
31/05/2002;3,637;4,0395;4,435;4,6775;4,865;5,0088;5,2125;5,4;5,48;5,5675;5,65;5,6663;5,65
28/06/2002;3,542;3,7915;4,13;4,3863;4,5888;4,735;4,9725;5,195;5,28;5,36;5,4125;5,4088;5,3775
31/07/2002;3,422;3,525;3,807;4,0455;4,32;4,4955;4,765;5,0025;5,1;5,1975;5,275;5,28;5,245
30/08/2002;3,361;3,4235;3,636;3,8775;4,0888;4,2588;4,5475;4,8088;4,91;5,0113;5,1088;5,1188;5,0938
30/09/2002;3,202;3,0603;3,2365;3,483;3,7075;3,89;4,2225;4,5425;4,6775;4,82;4,9425;4,9788;4,9625
31/10/2002;3,177;3,0845;3,27;3,5475;3,8013;4,0183;4,3775;4,708;4,835;4,985;5,115;5,1538;5,1325
29/11/2002;2,988;3,0045;3,2778;3,556;3,81;4,0168;4,352;4,6778;4,8198;4,958;5,0813;5,1238;5,1068
31/12/2002;2,804;2,7223;2,89;3,1565;3,4185;3,652;4,0145;4,4;4,539;4,6925;4,86;4,9025;4,8925
31/01/2003;2,715;2,6425;2,783;3,031;3,276;3,508;3,887;4,26;4,4178;4,573;4,7073;4,7563;4,747
28/02/2003;2,458;2,3635;2,485;2,7213;2,9838;3,213;3,6408;4,089;4,28;4,484;4,6603;4,7413;4,7378
31/03/2003;2,435;2,394;2,597;2,9;3,175;3,41;3,803;4,215;4,399;4,601;4,793;4,8588;4,878
30/04/2003;2,457;2,38;2,571;2,876;3,179;3,411;3,8103;4,2223;4,406;4,609;4,8048;4,8963;4,9065
30/05/2003;2,205;2,1425;2,2625;2,5045;2,7715;3,016;3,4145;3,851;4,0463;4,2655;4,4875;4,593;4,629
30/06/2003;2,091;2,045;2,265;2,5525;2,825;3,0778;3,497;3,923;4,123;4,3565;4,5985;4,7175;4,7585
31/07/2003;2,104;2,225;2,6615;2,8475;3,329;3,57;3,932;4,3145;4,4988;4,691;4,907;5,0095;5,0545
29/08/2003;2,195;2,345;2,7725;3,1225;3,413;3,628;3,962;4,296;4,445;4,6275;4,811;4,8998;4,934
30/09/2003;2,109;2,1265;2,4435;2,794;3,094;3,337;3,7375;4,135;4,3138;4,534;4,749;4,857;4,901
31/10/2003;2,213;2,413;2,8573;3,2228;3,5128;3,7413;4,0878;4,4158;4,567;4,7375;4,9275;5,0175;5,0338
28/11/2003;2,239;2,5205;3,0225;3,3955;3,6835;3,9095;4,235;4,5515;4,6935;4,8535;5,0175;5,0945;5,1235
31/12/2003;2,168;2,333;2,76;3,138;3,442;3,682;4,048;4,398;4,549;4,723;4,898;4,982;5,014
30/01/2004;2,137;2,296;2,733;3,0705;3,371;3,6153;3,9995;4,371;4,535;4,7328;4,9195;5,008;5,0275
27/02/2004;2,044;2,095;2,415;2,7635;3,0795;3,342;3,7605;4,176;4,3575;4,5625;4,7755;4,8745;4,913
31/03/2004;1,936;1,9865;2,295;2,635;2,945;3,201;3,65;4,08;4,259;4,472;4,695;4,7925;4,832
30/04/2004;2,106;2,244;2,6345;2,9875;3,2675;3,5275;3,9075;4,306;4,4825;4,6675;4,8625;4,9525;4,9825
